Wellington-mean,Wellington-bonds,Enrol-wellington,GDP,HouseValue,Population,Cost-changing,
371,38521,40283.33333,14.04166667,?,483400,7,
384,38520,40283.33333,14.04166667,?,483400,13,
393,39286,40283.33333,14.04166667,?,483400,9,
364,39424,40283.33333,14.04166667,?,483400,-29,
361,39910,40283.33333,14.04166667,?,483400,-3,
357,39990,40283.33333,14.04166667,?,483400,-4,
345,40101,40283.33333,14.04166667,?,483400,-12,
359,40697,40283.33333,14.04166667,?,483400,14,
361,40903,40283.33333,14.04166667,?,483400,2,
354,40967,40283.33333,14.04166667,?,483400,-7,
361,40909,40283.33333,14.04166667,?,483400,7,
373,40244,40283.33333,14.04166667,?,483400,12,
378,40131,40425,14.68333333,?,485100,5,
399,39755,40425,14.68333333,?,485100,21,
395,40394,40425,14.68333333,?,485100,-4,
383,41132,40425,14.68333333,?,485100,-12,
375,41231,40425,14.68333333,?,485100,-8,
359,41246,40425,14.68333333,?,485100,-16,
353,41737,40425,14.68333333,?,485100,-6,
361,42074,40425,14.68333333,?,485100,8,
350,42091,40425,14.68333333,?,485100,-11,
365,42219,40425,14.68333333,?,485100,15,
365,42275,40425,14.68333333,?,485100,0,
374,41556,40425,14.68333333,?,485100,9,
386,41731,40558.33333,15.875,?,486700,12,
398,41261,40558.33333,15.875,?,486700,12,
406,41098,40558.33333,15.875,?,486700,8,
393,41649,40558.33333,15.875,?,486700,-13,
382,42291,40558.33333,15.875,?,486700,-11,
374,42187,40558.33333,15.875,?,486700,-8,
366,42474,40558.33333,15.875,?,486700,-8,
371,42297,40558.33333,15.875,?,486700,5,
367,42411,40558.33333,15.875,?,486700,-4,
366,42504,40558.33333,15.875,?,486700,-1,
368,42653,40558.33333,15.875,?,486700,2,
377,42507,40558.33333,15.875,?,486700,9,
401,42254,40950,16.725,534748,491400,24,
422,41888,40950,16.725,534748,491400,21,
415,42225,40950,16.725,534748,491400,-7,
392,42345,40950,16.725,534748,491400,-23,
392,42657,40950,16.725,534748,491400,0,
384,42801,40950,16.725,534748,491400,-8,
371,43090,40950,16.725,534748,491400,-13,
375,43254,40950,16.725,534748,491400,4,
375,43633,40950,16.725,534748,491400,0,
377,43543,40950,16.725,534748,491400,2,
374,43647,40950,16.725,534748,491400,-3,
404,43279,40950,16.725,534748,491400,30,
406,43324,41408.33333,14.63333333,543754,496900,2,
420,42610,41408.33333,14.63333333,543754,496900,14,
